Borrower Number,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1,1.4240736128344533,1.9309036822217753,1.0112311747924032,1.7816224094800233,1.8325037183533017,1.3296533687878913,1.616393211808282,1.3016044156650382,1.7823042010241363,1.6810401269564461
2,1.8395066715984574,1.091905254284577,1.7107827519913208,1.1577626193203958,1.0788228358337641,1.790714098181784,1.5119652477128858,1.5376724999996676,1.7788206203334491,1.6413851496560712
3,1.0518313471363139,1.3005324623710157,1.5169733103016303,1.0500166109136662,1.016175396954826,1.5986527633683925,1.9798504577733111,1.07847931608545,1.2411091704727095,1.3773528809307587
4,1.4647444795483846,1.6378147161758378,1.8730235053256616,1.0921300912604583,1.7420368484056228,1.1234541974856964,1.6601535656004067,1.2706681876794144,1.4221504536912764,1.2668560726677875
5,1.2368851678834112,1.70042916854044,1.4984779057788007,1.1917132988479429,1.362055724762139,1.9783603902110798,1.1341033240985583,1.6180661402000633,1.5911461302655905,1.794393816660396
6,1.494247421438486,1.195239681608863,1.336762279795841,1.6293367959116623,1.1289709255103721,1.9222336088961969,1.9163552834025,1.5177608452616238,1.018973306152481,1.1915714269014375
7,1.7830958865477147,1.9999332648227748,1.3658701631028682,1.2287924519723727,1.2934029822293103,1.6968273194414438,1.076891706151105,1.6797309457172207,1.6875230481941417,1.1608506399671872
8,1.390062299838576,1.5421393440166735,1.3421713130105553,1.3658666585058832,1.4866841352386095,1.3613077556620992,1.9347584571118275,1.0464479629409698,1.9501472139826581,1.3318644326518472
9,1.8588429666939619,1.5055731988512138,1.0652107594963556,1.5613926685455657,1.360517095977651,1.708763306530681,1.1876229164182845,1.9064333910420812,1.9197223981676395,1.17056526925585
10,1.8800653435235932,1.556009105889768,1.299641058663104,1.5267481603102788,1.5243136962992838,1.4031264207071428,1.7921166867088592,1.7335186140811718,1.831186641493375,1.2380229411523214
11,1.484371509315626,1.5203563694214366,1.900588761551385,1.3402033153556352,1.7802005182345106,1.2983324363757314,1.2362052739923102,1.4529062191764295,1.717401632447976,1.6312532347375877
12,1.626093538894359,1.0361094721198998,1.1173221999582732,1.1312808334358855,1.2458576665514194,1.1207249142553475,1.6112698182757001,1.4065923268768978,1.2643057770155948,1.4391186207619326
13,1.8137890543727586,1.1254899202117779,1.9970985803878185,1.8970437471768875,1.8615486040995033,1.2987735476604363,1.0474042125408585,1.7432361181582685,1.383983211219213,1.9621401685243747
14,1.517116581949285,1.628146787236778,1.6814569198175184,1.0560118061307744,1.5184425486408561,1.6338824065100175,1.3430235179843817,1.0373222108614577,1.5467426547200005,1.139588229230546
15,1.121213993884985,1.8689230149494747,1.4131185325384275,1.3529971502207148,1.215716802501131,1.3190817945751392,1.216133740549017,1.6945086495727342,1.1493295124839533,1.926903292003991
16,1.9103906354109217,1.9642273861596382,1.8806914328032218,1.4306081174413579,1.2894423084631321,1.076702001561158,1.643349041031541,1.3639514245173756,1.843874254099061,1.3402791847021267
17,1.7434725405526401,1.5183781068803897,1.727403151159578,1.4013118791791657,1.887840198471474,1.4564342012610116,1.4689874918091053,1.1362004792195202,1.2534272481384279,1.3321132428288949
18,1.7007342325403378,1.320641252546535,1.3675837277000986,1.6796311433054827,1.9451137809569459,1.0774964733079746,1.7350540269052117,1.4349985494156665,1.0839492099952994,1.4334070653383555
19,1.215726654093578,1.8433109873015878,1.8906542350918643,1.7711083063385402,1.2999436256662107,1.248052397043407,1.5012317722599833,1.2102024931120114,1.1267959359689805,1.9308592557887234
20,1.2780221451807923,1.7148413771048343,1.0196568746249817,1.633651420460072,1.8482399074534497,1.5420288738495467,1.3150172922786387,1.5974791006724862,1.7629418723138706,1.586790245946872
21,1.6004879260223706,1.6255452246175492,1.9455086078853134,1.8818754854837665,1.118372010462195,1.0792114059021092,1.9782730001580866,1.5486857814598594,1.6144173039712029,1.6956644814749855
22,1.3601742131391346,1.681886247743373,1.2590597243308554,1.5892778593002945,1.7049003912185117,1.3902665077790268,1.2493626331589702,1.2232395179825826,1.2089822597948339,1.6034570136860968
23,1.4293330133369175,1.3646674311637437,1.9982946682852991,1.5831581713591212,1.9971891658694658,1.8495009812984287,1.362786722387007,1.946160562338608,1.4573462766907088,1.5822146127484262
24,1.784761414629017,1.8756002591787637,1.3308804436640291,1.653091244078412,1.7156552078564542,1.8442438322189494,1.9447286350288158,1.7120483263589228,1.4305365538651125,1.5121364251444902
25,1.2684877149567435,1.4516928703163834,1.0118974166769972,1.0760393983821972,1.5889838547237898,1.0645373006616627,1.4485040388691544,1.6536700756780518,1.4472725976686651,1.4005756527536213
26,1.2758589233997473,1.5520672817267327,1.2096643458586307,1.1490837362744886,1.9987889021292435,1.698049234506739,1.2620199964641619,1.8942388180533296,1.7837329609300037,1.8026443875251537
27,1.073922641985802,1.5588407789383036,1.8897749146881964,1.4852118138630335,1.5198510432887882,1.1878990459448966,1.4375665018061117,1.5413008502711887,1.8321015462757928,1.9004070458642484
28,1.792258724822124,1.3602964702669644,1.950388878330516,1.8243440987504842,1.6855970409882475,1.129384133990853,1.1708343725427288,1.7480203190365202,1.745528576659916,1.128774714714528
29,1.9618057191348286,1.0194361065762303,1.682167591841416,1.3912554913498765,1.429543802140004,1.0865556394333766,1.9988701442038495,1.3363689572963136,1.719318021873549,1.2884843857171573
30,1.0632698519974144,1.4102512505767604,1.176915298313475,1.5328817574908555,1.5657593154321416,1.1458503438473069,1.593529892794165,1.0020846554117973,1.6951646559995428,1.608992485552481
31,1.715434681765423,1.566675544992206,1.4990558107079663,1.1071072712190713,1.8287208121064804,1.7499438546895827,1.183943748026909,1.2257562348962328,1.943493945721369,1.733654324466022
32,1.8868990793024478,1.458925366495611,1.487926497608771,1.092755545200243,1.96404748178901,1.8722652182309667,1.9910727342718633,1.1150039051606573,1.2478804650819209,1.6553258885934805
33,1.5339753408337722,1.1849004360116444,1.0677924539328654,1.941376594811552,1.8742972514593417,1.5619648562289101,1.6015374013000687,1.4764281395113414,1.088111333744108,1.3349135470018552
34,1.1631515263678298,1.2133289412099932,1.932536946598245,1.0386706173766744,1.5828787785776441,1.7875679226628938,1.7503742534093125,1.2587478038304676,1.498416835440723,1.0495637678500978
35,1.0455995666215734,1.899249706999071,1.272503353160472,1.8386146778592938,1.271643287785603,1.1964791958616097,1.7028807836408988,1.6420451528278286,1.6276852866422287,1.6869826404750627
36,1.9039593290829955,1.8433969747461147,1.5235140416907673,1.8936855083168798,1.1511158779372197,1.5003276136212111,1.2534263412498454,1.8325206228337723,1.5257241292418078,1.8609644206985076
37,1.4322826695803168,1.9964673755340643,1.614664975560478,1.331568434570451,1.2026179546687414,1.5620694650926774,1.6257305456404585,1.8340022292453924,1.5192873288011897,1.3995600953784932
38,1.316390799804874,1.150536289323942,1.525362228761102,1.6686420023000164,1.3279261547457133,1.0282060467457224,1.0329013213141192,1.6855319937795237,1.335972152169549,1.5777863126604053
39,1.3046339152976185,1.314112263347139,1.4728169602688959,1.5982077649740223,1.3769339560561216,1.9932257859081086,1.0723376263516093,1.8641161246374205,1.6736764645280053,1.039677070915055
40,1.0925161549094757,1.4187923567247083,1.3116417683556785,1.2985682695645617,1.2102009927013024,1.8514681561999242,1.2720780190743715,1.9134166604409355,1.8976760277855655,1.4519030802482318
41,1.6198529450728203,1.3571369806539795,1.8530395142549851,1.6233818655823757,1.3344616630897392,1.1718936323777527,1.2848963787474017,1.0295890156020158,1.1265401104781505,1.133667117734995
42,1.845629326092935,1.2789380620958797,1.5453148359793696,1.1588488404213395,1.6777591700825472,1.0452465736208265,1.0619525687461517,1.5409724793495974,1.480325231206285,1.4464000512040411
43,1.3784993576320743,1.8380292837651142,1.87845024826151,1.4866743061210395,1.8899847376357135,1.7727531036449955,1.111479483064445,1.5825541764570832,1.2069168181190482,1.6661909018142813
44,1.8362497009732057,1.5854836406600397,1.0071934414148993,1.6754739171254132,1.2844228277726688,1.5387986118619272,1.1331192448884777,1.1381090529686002,1.676349191242993,1.3318962591014358
45,1.5821533138267116,1.406112329846891,1.3130939001030213,1.6128834742814164,1.1998656714466627,1.2039999313114387,1.6335675356143802,1.6147886758521879,1.4017158047350406,1.2366915633878253
46,1.6134527626955832,1.0312990810759683,1.3320692017716769,1.4953097124960046,1.4215663005268007,1.2140454169119574,1.8115386101444537,1.6685789658965855,1.4288092316635956,1.2022529332741239
47,1.4527888375460818,1.9524003055015835,1.3518247798442227,1.6949863791282023,1.1622043248315284,1.8656597132819708,1.6847509398090392,1.9501662608985213,1.1089802446857946,1.1294646574201863
48,1.2673100404913482,1.8562277908848044,1.770765374291316,1.1606193755751018,1.7944025459680097,1.0568337173790372,1.416762947990379,1.6073559134257653,1.3410918155465885,1.7851276002825593
49,1.2838678002726454,1.7617539081680622,1.2911971033570921,1.9035470799418932,1.4131063265275778,1.2134335239608016,1.4393628283306081,1.4164280565302794,1.5708214694032567,1.7328755326981677
50,1.043847940648159,1.6523740981281914,1.6800797574077615,1.3569272304740023,1.6728537278444597,1.7226237934034971,1.5230920953524771,1.6019399410955284,1.0301482288595403,1.6802787773941552
51,1.5556472599923232,1.750221363797169,1.9355770893501156,1.6485748605570842,1.4472772610605498,1.8507956799924825,1.3972730255262302,1.10607327853432,1.907932443601779,1.3868495755305599
52,1.746448999343198,1.7152246567822167,1.469535200872171,1.3788064198046808,1.8371946538147372,1.0922273021355307,1.9043558192560708,1.6985252019847725,1.2271197513693801,1.23065169351305
53,1.372391342597787,1.6942809424800318,1.2171867413976605,1.5062132292276345,1.8623323363355162,1.924628683150885,1.6954581611426032,1.3389820697505268,1.8534816499196651,1.632854471718363
54,1.6806105819762491,1.5019736105440389,1.9504266037377516,1.513790178315296,1.061500633986919,1.7993479518325644,1.788532211949021,1.600520093901347,1.3890494329158627,1.9213961860960147
55,1.8608847774003365,1.2350073907245673,1.4669255088560584,1.9721005995991026,1.6685388231660263,1.1493449051230513,1.8162346558283136,1.5438722015201,1.5579813663367386,1.9952259804623824
56,1.4793240489621065,1.9311394172402236,1.3328187311571589,1.8222347045911191,1.9280236759056097,1.4961653186447919,1.9603834874563604,1.0849246931492984,1.6085304462339187,1.5988996267177185
57,1.3365839417175533,1.9465914113911453,1.3418928560516097,1.6159855360566402,1.5781953354842666,1.8066073335546236,1.7801040211560974,1.5803563953870179,1.377876624811254,1.5991467302631834
58,1.4228989549831357,1.1934148153818729,1.8341698111554732,1.622915587677896,1.1710063036903864,1.8657229382293736,1.8864730207428595,1.1644864412649119,1.0694969536184287,1.1331610566535208
59,1.0633658976513316,1.8909694346439507,1.4568168056142934,1.7851708043440833,1.4162189364573452,1.7379156316812217,1.6249959656044526,1.3641323915342896,1.9091217220961356,1.647420229272552
60,1.9040735446712413,1.7211634567962646,1.5022237864889303,1.2794135707428644,1.4537855456386763,1.2091927811029803,1.2688421207431366,1.0008736203818254,1.9455773346054737,1.2664658256004788
61,1.6172103818905108,1.2993438564759812,1.144149533922692,1.069571357797567,1.2376230702197324,1.0412544349331223,1.5974213734675082,1.461786400580992,1.7042030461158042,1.9873799914379626
62,1.8562919928458603,1.4539263052530833,1.8339577514977718,1.9216350480707454,1.397144280053951,1.22835682102476,1.3771144857609618,1.3760013905761692,1.6097909664337622,1.373461896796139
63,1.0957483154838017,1.857516065529421,1.0918841016468739,1.770503184950695,1.923550302002726,1.4917924407328886,1.8927258944610843,1.7442698537681323,1.311400290222946,1.5880092428174941
64,1.182670918890186,1.1817198589523517,1.1797645359223168,1.8517485787601684,1.5803187341770029,1.5706477681695032,1.3221819978136553,1.8811573481338253,1.7327814307837652,1.6791817580789918
65,1.6962959017715393,1.4008546462419313,1.3549038625660992,1.2619836636335453,1.799018900593906,1.8905605725423147,1.713961545176263,1.4098085362041144,1.9744461549530907,1.702128222228931
66,1.2367817253251432,1.6849516450801048,1.9560066380191157,1.2722251903593005,1.782506932741725,1.792069972133504,1.018988073235548,1.2791451705497021,1.7263470224381914,1.7150723532609051
67,1.8560474264586135,1.5564231943890907,1.9643664118259867,1.4813734128926033,1.2887522148301929,1.5522065720944638,1.314703337138623,1.2002619841701168,1.2829574810153623,1.7630342420674667
68,1.1680468120613616,1.3981070182066007,1.622053820650772,1.1400748079280834,1.399643686134242,1.6121277039179729,1.100089634051593,1.7548611585044016,1.2435690488036757,1.3749215183015346
69,1.7020732990325285,1.8801826212243307,1.3450054894897487,1.1011159443781104,1.5404320191239624,1.9044498955180207,1.726134431610706,1.7055162053130486,1.7724019890447895,1.7128463852286862
70,1.8504504116301788,1.6781343237708168,1.8384563048964715,1.3397265847441915,1.63059596240366,1.2806043101052915,1.306435800287495,1.3861003651378487,1.706656781113241,1.6663029338920499
71,1.0431930160557856,1.464024307535421,1.6845927570939039,1.0336225602093663,1.6498012502405435,1.692534698444495,1.4951471792552113,1.6659101576720312,1.1490879627785904,1.1897061866071827
72,1.6702182565009633,1.970424651027114,1.6507591742019216,1.8614705071887685,1.4698454961696976,1.3388383974810663,1.4696451021511137,1.6173503594596288,1.8064818302450059,1.6403883300125943
73,1.468187229320924,1.8419183981816838,1.4956633455816637,1.946927135892531,1.0112402879148896,1.0806832152983379,1.7307758849817416,1.6882494153560614,1.495750402863841,1.202930470134846
74,1.1085706673497016,1.1033913071349173,1.5025775670993928,1.6375120639381393,1.9513270263229048,1.8477709076466042,1.1839767790335842,1.2585159698243507,1.7697284019557729,1.78545312510958
75,1.1062573097034396,1.2685825111999995,1.4383145464380664,1.0034234728538776,1.7465412692419982,1.7824182682714107,1.5767392177344948,1.7291207607025565,1.671583083328506,1.1565203619052293
76,1.5899411382174513,1.8230802795969292,1.6457321603357844,1.0051328519954668,1.4020028988610158,1.8656782917808217,1.6596841472140018,1.9880639373100997,1.135536089985818,1.0228694755342582
77,1.3237745525187794,1.127580325536623,1.3231330979919464,1.679842796656525,1.5967717043763838,1.2533805343689326,1.1107609077681952,1.31757171721735,1.0191369648254156,1.31943363054055
78,1.9726695413244109,1.9465443359200862,1.2976048602916612,1.953745007439165,1.5308980631628173,1.507359175140556,1.7763742115671297,1.3705643839462378,1.0683115880037306,1.823932375449183
79,1.135957718723282,1.1323267585622707,1.7597652971865312,1.913963722626602,1.7746432817187192,1.001889094047825,1.083162239404973,1.9776779476625572,1.7752676801448595,1.7532477776547295
80,1.7557481107445092,1.7706194767627124,1.9618947276165097,1.347548932686467,1.960933630664369,1.5992048426591627,1.4465515643386961,1.004750357400218,1.7617029621797626,1.3719507794073587
81,1.0872783911537627,1.4229261708175112,1.3974871846439694,1.8030365537847342,1.027731264901366,1.632261426200428,1.096871045471643,1.1647596982666637,1.8070266423896677,1.3927798138822438
82,1.5260813510386089,1.5505056395700092,1.0741439104104078,1.0062385163052197,1.0021612506924331,1.2290898180953094,1.7372592929941377,1.4088667745468162,1.3041373525387154,1.1114131293188207
83,1.506251792868352,1.2194670175817381,1.372942015866164,1.0538089640006953,1.0035352551093393,1.7221622581576606,1.0351799285736325,1.8150804809162673,1.9415104850124827,1.5410178906444165
84,1.2378421214503303,1.101104908107112,1.1329598466420907,1.4065011092475892,1.0333980409939474,1.583906067243666,1.3278193348119847,1.737978299498327,1.9683525148052121,1.7830781171569714
85,1.5724352544378482,1.5186521431954856,1.2586262988999959,1.1575115379433538,1.928538815861479,1.258233219552427,1.5509640110550689,1.7289773642324868,1.3288695997923616,1.785687522270209
86,1.587103965307369,1.2265224942869093,1.5204357409976126,1.66071882593977,1.5975623774846208,1.0502641055173596,1.5241556993906311,1.0107635132569661,1.9375213265595521,1.2033210286104605
