Borrower Number,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1,1,4,4,6,3,4,4,8,3,4
2,3,5,6,2,1,7,6,1,1,1
3,5,2,5,2,5,5,7,8,4,3
4,4,4,2,3,6,8,7,7,2,1
5,8,3,1,3,7,7,2,1,6,4
6,1,2,6,8,5,4,8,2,2,1
7,7,3,6,8,1,8,8,6,2,1
8,2,1,2,2,4,8,6,5,2,4
9,3,3,6,5,1,6,8,6,8,4
10,1,2,7,4,2,7,4,8,6,8
11,4,2,5,5,6,5,1,4,2,4
12,5,7,8,7,2,3,8,8,6,1
13,8,4,3,7,5,7,4,3,4,8
14,5,5,4,6,8,2,5,6,8,4
15,6,1,6,8,2,6,8,3,2,8
16,4,1,2,6,3,4,4,2,6,5
17,7,3,6,1,3,5,5,3,2,7
18,1,6,8,6,1,3,6,8,3,7
19,6,8,6,8,1,6,1,3,1,1
20,4,4,1,4,5,8,3,7,5,4
21,3,8,6,1,5,2,4,4,5,1
22,7,6,8,8,1,7,1,3,4,2
23,8,2,4,2,3,4,4,1,6,6
24,2,4,7,4,3,2,3,2,6,3
25,3,5,4,1,1,8,4,1,8,5
26,7,4,6,6,3,7,1,7,1,1
27,2,3,6,6,8,3,4,5,8,1
28,2,4,1,5,8,7,1,1,2,5
29,7,1,6,8,5,6,4,8,2,1
30,1,4,2,4,4,6,5,2,7,1
31,6,2,7,6,1,1,4,1,3,1
32,8,8,4,1,1,8,4,1,3,8
33,8,3,8,3,1,2,7,4,8,5
34,4,6,3,6,3,7,2,5,1,7
35,3,5,7,6,3,7,6,3,7,6
36,6,2,1,5,1,4,7,7,7,7
37,7,4,7,7,1,5,6,3,8,1
38,6,6,4,8,5,5,5,4,8,6
39,6,1,6,7,4,3,3,2,6,7
40,1,7,8,7,4,2,5,2,3,6
41,4,7,7,3,1,8,7,3,1,5
42,6,7,1,7,5,7,6,8,5,6
43,4,8,2,8,6,2,7,1,1,1
44,1,3,3,7,3,3,7,1,8,2
45,3,6,3,6,1,7,1,7,2,7
46,5,2,1,3,4,7,6,5,8,6
47,3,8,2,8,6,4,5,1,4,1
